transaction_id,timestamp,customer_id,type,amount,merchant,is_fraud
T00000060,2023-01-03 12:00:00,C01406,Purchase,2527.57,Walmart,0
T00000061,2023-01-03 13:00:00,C03416,Payment,3262.22,Grocery Store,0
T00000062,2023-01-03 14:00:00,C02902,Transfer,2750.72,Online Retail,0
T00000063,2023-01-03 15:00:00,C03156,Transfer,344.56,Walmart,0
T00000064,2023-01-03 16:00:00,C01110,Purchase,2072.36,Gas Station,0
T00000065,2023-01-03 17:00:00,C02943,Payment,3457.28,Restaurant,0
T00000066,2023-01-03 18:00:00,C02262,Purchase,2635.17,Amazon,0
T00000067,2023-01-03 19:00:00,C03883,Transfer,4148.81,Gas Station,0
T00000068,2023-01-03 20:00:00,C02610,Payment,1468.57,Online Retail,0
T00000069,2023-01-03 21:00:00,C04295,Withdrawal,97.65,Restaurant,0
T00000070,2023-01-03 22:00:00,C00657,Purchase,3455.51,Restaurant,0
T00000071,2023-01-03 23:00:00,C00273,Purchase,707.81,Online Retail,0
T00000072,2023-01-04 00:00:00,C01133,Purchase,3012.96,Walmart,0
T00000073,2023-01-04 01:00:00,C00576,Deposit,3143.82,Restaurant,0
T00000074,2023-01-04 02:00:00,C03454,Payment,1319.87,Restaurant,0
T00000075,2023-01-04 03:00:00,C04896,Payment,1321.99,Online Retail,0
T00000076,2023-01-04 04:00:00,C04818,Withdrawal,913.82,Online Retail,0
T00000077,2023-01-04 05:00:00,C01954,Withdrawal,1136.61,Restaurant,0
T00000078,2023-01-04 06:00:00,C02753,Withdrawal,3153.61,Gas Station,0
T00000079,2023-01-04 07:00:00,C03589,Payment,2470.9,Online Retail,0
T00000080,2023-01-04 08:00:00,C03911,Deposit,2756.53,Restaurant,0
T00000081,2023-01-04 09:00:00,C00365,Payment,2385.56,Amazon,0
T00000082,2023-01-04 10:00:00,C02304,Transfer,19.4,Amazon,0
T00000083,2023-01-04 11:00:00,C03866,Transfer,1141.19,Grocery Store,0
T00000084,2023-01-04 12:00:00,C04821,Payment,3924.18,Amazon,0
T00000085,2023-01-04 13:00:00,C02200,Purchase,2450.99,Amazon,0
T00000086,2023-01-04 14:00:00,C04261,Payment,339.9,Gas Station,0
T00000087,2023-01-04 15:00:00,C04700,Payment,1749.72,Gas Station,0
T00000088,2023-01-04 16:00:00,C01299,Payment,1494.22,Amazon,0
T00000089,2023-01-04 17:00:00,C02330,Purchase,643.91,Restaurant,0
T00000090,2023-01-04 18:00:00,C02007,Purchase,1918.05,Online Retail,0
T00000091,2023-01-04 19:00:00,C00792,Deposit,1494.44,Online Retail,0
T00000092,2023-01-04 20:00:00,C03273,Deposit,4594.87,Restaurant,0
T00000093,2023-01-04 21:00:00,C00458,Payment,331.02,Amazon,0
T00000094,2023-01-04 22:00:00,C03949,Purchase,3795.69,Gas Station,0
T00000095,2023-01-04 23:00:00,C00688,Transfer,4382.69,Walmart,0
T00000096,2023-01-05 00:00:00,C04294,Payment,347.78,Amazon,0
T00000097,2023-01-05 01:00:00,C00413,Transfer,2965.72,Online Retail,0
T00000098,2023-01-05 02:00:00,C00470,Transfer,1873.33,Gas Station,0
T00000099,2023-01-05 03:00:00,C04715,Payment,3807.03,Online Retail,0
T00000100,2023-01-05 04:00:00,C04505,Purchase,1215.95,Amazon,0
T00000101,2023-01-05 05:00:00,C01111,Payment,1983.83,Restaurant,0
T00000102,2023-01-05 06:00:00,C04148,Deposit,12.32,Amazon,0
T00000103,2023-01-05 07:00:00,C02603,Payment,3842.5,Amazon,0
T00000104,2023-01-05 08:00:00,C04605,Payment,4375.8,Restaurant,0
T00000105,2023-01-05 09:00:00,C00733,Purchase,252.8,Amazon,0
T00000106,2023-01-05 10:00:00,C03428,Payment,4640.79,Online Retail,0
T00000107,2023-01-05 11:00:00,C03891,Deposit,3461.7,Walmart,0
T00000108,2023-01-05 12:00:00,C01947,Purchase,1398.54,Amazon,0
T00000109,2023-01-05 13:00:00,C00864,Withdrawal,3739.63,Online Retail,0
T00000110,2023-01-05 14:00:00,C01907,Deposit,3945.13,Amazon,0
T00000111,2023-01-05 15:00:00,C04130,Purchase,2655.83,Amazon,0
T00000112,2023-01-05 16:00:00,C02065,Withdrawal,2057.3,Grocery Store,0
T00000113,2023-01-05 17:00:00,C04452,Withdrawal,2464.54,Amazon,0
T00000114,2023-01-05 18:00:00,C04464,Transfer,434.14,Restaurant,0
T00000115,2023-01-05 19:00:00,C03884,Purchase,2271.61,Walmart,0
T00000116,2023-01-05 20:00:00,C00592,Withdrawal,2640.71,Restaurant,0
T00000117,2023-01-05 21:00:00,C04298,Payment,3183.62,Restaurant,1
T00000118,2023-01-05 22:00:00,C02095,Purchase,4682.52,Online Retail,0
T00000119,2023-01-05 23:00:00,C03963,Payment,1542.42,Grocery Store,0
T00000120,2023-01-06 00:00:00,C00754,Withdrawal,976.18,Grocery Store,0
T00000121,2023-01-06 01:00:00,C03863,Deposit,511.16,Gas Station,0
T00000122,2023-01-06 02:00:00,C03435,Deposit,1096.31,Gas Station,0
T00000123,2023-01-06 03:00:00,C04426,Withdrawal,1099.61,Online Retail,0
T00000124,2023-01-06 04:00:00,C03853,Deposit,987.11,Grocery Store,0
T00000125,2023-01-06 05:00:00,C03150,Deposit,1342.75,Online Retail,0
T00000126,2023-01-06 06:00:00,C04009,Payment,2204.41,Walmart,0
T00000127,2023-01-06 07:00:00,C04797,Transfer,4165.35,Amazon,0
T00000128,2023-01-06 08:00:00,C04862,Purchase,4584.11,Grocery Store,0
T00000129,2023-01-06 09:00:00,C04337,Withdrawal,470.05,Walmart,0
T00000130,2023-01-06 10:00:00,C03837,Transfer,4053.98,Walmart,0
T00000131,2023-01-06 11:00:00,C02311,Withdrawal,4353.25,Gas Station,0
T00000132,2023-01-06 12:00:00,C04255,Payment,4879.17,Walmart,0
T00000133,2023-01-06 13:00:00,C01352,Deposit,3279.73,Gas Station,0
T00000134,2023-01-06 14:00:00,C03449,Purchase,511.88,Grocery Store,0
T00000135,2023-01-06 15:00:00,C03694,Withdrawal,4603.91,Gas Station,0
T00000136,2023-01-06 16:00:00,C02297,Transfer,4800.81,Online Retail,0
T00000137,2023-01-06 17:00:00,C02456,Payment,4900.42,Online Retail,0
T00000138,2023-01-06 18:00:00,C01674,Withdrawal,1365.77,Amazon,0
T00000139,2023-01-06 19:00:00,C03372,Deposit,708.43,Online Retail,0
T00000140,2023-01-06 20:00:00,C03994,Payment,3879.62,Online Retail,1
T00000141,2023-01-06 21:00:00,C00117,Withdrawal,2318.49,Walmart,0
T00000142,2023-01-06 22:00:00,C03242,Withdrawal,3572.35,Walmart,0
T00000143,2023-01-06 23:00:00,C02530,Deposit,2870.6,Amazon,0
T00000144,2023-01-07 00:00:00,C04871,Payment,4733.99,Walmart,0
T00000145,2023-01-07 01:00:00,C02944,Deposit,1217.79,Restaurant,0
T00000146,2023-01-07 02:00:00,C04140,Purchase,4918.51,Gas Station,0
T00000147,2023-01-07 03:00:00,C00108,Transfer,949.83,Amazon,0
T00000148,2023-01-07 04:00:00,C03490,Purchase,4918.12,Grocery Store,0
T00000149,2023-01-07 05:00:00,C00666,Purchase,3941.47,Restaurant,0
T00000150,2023-01-07 06:00:00,C03224,Transfer,1082.57,Amazon,0
T00000151,2023-01-07 07:00:00,C02276,Payment,1304.16,Grocery Store,0
T00000152,2023-01-07 08:00:00,C00867,Payment,570.95,Online Retail,0
T00000153,2023-01-07 09:00:00,C04640,Purchase,4701.47,Walmart,0
T00000154,2023-01-07 10:00:00,C00928,Deposit,4619.72,Walmart,0
T00000155,2023-01-07 11:00:00,C00225,Purchase,4756.28,Online Retail,0
T00000156,2023-01-07 12:00:00,C03316,Payment,2347.71,Grocery Store,0
T00000157,2023-01-07 13:00:00,C01180,Withdrawal,3193.24,Walmart,0
T00000158,2023-01-07 14:00:00,C02961,Purchase,3286.57,Grocery Store,0
T00000159,2023-01-07 15:00:00,C02365,Payment,3676.86,Amazon,0
T00000160,2023-01-07 16:00:00,C00903,Payment,1990.52,Walmart,0
T00000161,2023-01-07 17:00:00,C04549,Deposit,1930.96,Grocery Store,0
T00000162,2023-01-07 18:00:00,C00522,Payment,764.73,Grocery Store,0
T00000163,2023-01-07 19:00:00,C01445,Deposit,2458.16,Grocery Store,0
T00000164,2023-01-07 20:00:00,C00702,Purchase,245.22,Grocery Store,0
T00000165,2023-01-07 21:00:00,C01617,Payment,3404.46,Online Retail,0
T00000166,2023-01-07 22:00:00,C04261,Withdrawal,4088.3,Gas Station,0
T00000167,2023-01-07 23:00:00,C00253,Deposit,4576.62,Online Retail,0
T00000168,2023-01-08 00:00:00,C04351,Purchase,1139.42,Amazon,0
T00000169,2023-01-08 01:00:00,C02967,Payment,4229.72,Gas Station,0
T00000170,2023-01-08 02:00:00,C03425,Withdrawal,3085.25,Grocery Store,0
T00000171,2023-01-08 03:00:00,C00620,Transfer,3900.88,Gas Station,0
T00000172,2023-01-08 04:00:00,C04253,Deposit,380.62,Amazon,0
T00000173,2023-01-08 05:00:00,C02839,Deposit,4369.33,Amazon,0
T00000174,2023-01-08 06:00:00,C00532,Transfer,3771.83,Gas Station,0
T00000175,2023-01-08 07:00:00,C00647,Payment,3135.37,Online Retail,0
T00000176,2023-01-08 08:00:00,C00185,Transfer,2415.35,Amazon,0
T00000177,2023-01-08 09:00:00,C02274,Purchase,2965.21,Restaurant,0
T00000178,2023-01-08 10:00:00,C00518,Transfer,30.95,Gas Station,0
T00000179,2023-01-08 11:00:00,C02178,Purchase,292.3,Amazon,0
T00000180,2023-01-08 12:00:00,C03680,Payment,1774.15,Walmart,0
T00000181,2023-01-08 13:00:00,C04057,Transfer,3549.42,Amazon,0
T00000182,2023-01-08 14:00:00,C01185,Payment,4486.15,Grocery Store,0
T00000183,2023-01-08 15:00:00,C03507,Transfer,4749.96,Amazon,0
T00000184,2023-01-08 16:00:00,C04163,Purchase,1274.72,Restaurant,0
T00000185,2023-01-08 17:00:00,C03240,Transfer,140.34,Gas Station,0
T00000186,2023-01-08 18:00:00,C01648,Transfer,1597.63,Online Retail,0
T00000187,2023-01-08 19:00:00,C04598,Transfer,1949.38,Walmart,0
T00000188,2023-01-08 20:00:00,C03899,Deposit,2124.66,Grocery Store,0
T00000189,2023-01-08 21:00:00,C00527,Deposit,3967.55,Grocery Store,0
T00000190,2023-01-08 22:00:00,C01692,Deposit,4850.96,Amazon,0
T00000191,2023-01-08 23:00:00,C04026,Payment,1018.21,Gas Station,0
T00000192,2023-01-09 00:00:00,C03701,Deposit,1812.24,Amazon,0
T00000193,2023-01-09 01:00:00,C03081,Purchase,753.19,Gas Station,0
T00000194,2023-01-09 02:00:00,C01499,Deposit,11.16,Online Retail,0
T00000195,2023-01-09 03:00:00,C03673,Transfer,2150.62,Amazon,0
T00000196,2023-01-09 04:00:00,C01106,Transfer,4288.56,Restaurant,0
T00000197,2023-01-09 05:00:00,C00681,Deposit,210.95,Online Retail,0
T00000198,2023-01-09 06:00:00,C00946,Deposit,69.29,Online Retail,0
T00000199,2023-01-09 07:00:00,C02833,Payment,3210.05,Online Retail,0
T00000200,2023-01-09 08:00:00,C00111,Withdrawal,2065.16,Walmart,0
T00000201,2023-01-09 09:00:00,C00026,Withdrawal,1241.36,Online Retail,0
T00000202,2023-01-09 10:00:00,C04720,Payment,4022.77,Walmart,0
T00000203,2023-01-09 11:00:00,C04922,Purchase,463.85,Online Retail,0
T00000204,2023-01-09 12:00:00,C04790,Withdrawal,3916.65,Gas Station,0
T00000205,2023-01-09 13:00:00,C01290,Purchase,523.06,Grocery Store,0
T00000206,2023-01-09 14:00:00,C03814,Transfer,4562.58,Online Retail,0
T00000207,2023-01-09 15:00:00,C01945,Withdrawal,1125.71,Grocery Store,0
T00000208,2023-01-09 16:00:00,C00817,Payment,3517.74,Online Retail,0
T00000209,2023-01-09 17:00:00,C01982,Deposit,2032.53,Online Retail,0
T00000210,2023-01-09 18:00:00,C03022,Purchase,4597.63,Gas Station,0
T00000211,2023-01-09 19:00:00,C00038,Purchase,4034.48,Grocery Store,0
T00000212,2023-01-09 20:00:00,C03974,Purchase,4585.67,Restaurant,0
T00000213,2023-01-09 21:00:00,C03969,Withdrawal,2566.89,Gas Station,0
T00000214,2023-01-09 22:00:00,C02514,Purchase,236.89,Restaurant,0
T00000215,2023-01-09 23:00:00,C00868,Deposit,1111.05,Walmart,0
T00000216,2023-01-10 00:00:00,C03174,Deposit,1857.78,Grocery Store,0
T00000217,2023-01-10 01:00:00,C02683,Transfer,3764.72,Grocery Store,0
T00000218,2023-01-10 02:00:00,C03149,Purchase,1976.64,Grocery Store,0
T00000219,2023-01-10 03:00:00,C03148,Deposit,2266.71,Amazon,0
T00000220,2023-01-10 04:00:00,C01174,Purchase,650.64,Restaurant,0
T00000221,2023-01-10 05:00:00,C00067,Withdrawal,3636.58,Online Retail,0
T00000222,2023-01-10 06:00:00,C04769,Payment,767.83,Walmart,0
T00000223,2023-01-10 07:00:00,C04400,Withdrawal,4887.48,Gas Station,0
T00000224,2023-01-10 08:00:00,C01032,Withdrawal,1144.6,Walmart,0
T00000225,2023-01-10 09:00:00,C03241,Withdrawal,3422.24,Online Retail,0
T00000226,2023-01-10 10:00:00,C04722,Transfer,3115.71,Gas Station,0
T00000227,2023-01-10 11:00:00,C01445,Deposit,1542.71,Restaurant,0
T00000228,2023-01-10 12:00:00,C02002,Deposit,3134.64,Gas Station,0
T00000229,2023-01-10 13:00:00,C00098,Withdrawal,2464.1,Gas Station,0
T00000230,2023-01-10 14:00:00,C03113,Deposit,4842.99,Amazon,0
T00000231,2023-01-10 15:00:00,C02715,Deposit,3843.68,Amazon,0
T00000232,2023-01-10 16:00:00,C00322,Withdrawal,2637.28,Gas Station,0
T00000233,2023-01-10 17:00:00,C01826,Payment,2654.16,Online Retail,0
T00000234,2023-01-10 18:00:00,C00541,Deposit,3491.29,Restaurant,0
T00000235,2023-01-10 19:00:00,C03419,Transfer,2421.83,Gas Station,0
T00000236,2023-01-10 20:00:00,C01081,Deposit,2250.01,Gas Station,0
T00000237,2023-01-10 21:00:00,C01397,Transfer,2561.88,Amazon,0
T00000238,2023-01-10 22:00:00,C02692,Transfer,3266.28,Grocery Store,0
T00000239,2023-01-10 23:00:00,C03625,Withdrawal,4386.47,Gas Station,0
T00000240,2023-01-11 00:00:00,C02062,Purchase,2647.3,Grocery Store,0
T00000241,2023-01-11 01:00:00,C01835,Payment,2801.13,Online Retail,0
T00000242,2023-01-11 02:00:00,C01139,Purchase,11.47,Restaurant,0
T00000243,2023-01-11 03:00:00,C03376,Deposit,2037.29,Grocery Store,0
T00000244,2023-01-11 04:00:00,C03864,Deposit,3151.82,Restaurant,0
T00000245,2023-01-11 05:00:00,C01794,Withdrawal,350.99,Walmart,0
T00000246,2023-01-11 06:00:00,C04913,Withdrawal,3781.56,Amazon,0
T00000247,2023-01-11 07:00:00,C02261,Deposit,2450.61,Restaurant,0
T00000248,2023-01-11 08:00:00,C01907,Payment,3505.1,Restaurant,0
T00000249,2023-01-11 09:00:00,C01264,Transfer,3224.19,Amazon,0
T00000250,2023-01-11 10:00:00,C02724,Purchase,3897.19,Walmart,0
T00000251,2023-01-11 11:00:00,C01334,Purchase,4258.37,Gas Station,0
T00000252,2023-01-11 12:00:00,C00459,Payment,532.89,Gas Station,0
T00000253,2023-01-11 13:00:00,C00713,Deposit,1744.03,Restaurant,0
T00000254,2023-01-11 14:00:00,C03619,Purchase,3610.37,Online Retail,0
T00000255,2023-01-11 15:00:00,C01483,Transfer,2485.14,Online Retail,0
T00000256,2023-01-11 16:00:00,C00297,Deposit,1046.63,Amazon,0
T00000257,2023-01-11 17:00:00,C03397,Purchase,1080.17,Amazon,0
T00000258,2023-01-11 18:00:00,C02026,Withdrawal,1985.71,Walmart,0
T00000259,2023-01-11 19:00:00,C04453,Withdrawal,4027.91,Grocery Store,0
T00000260,2023-01-11 20:00:00,C00606,Payment,3303.57,Amazon,0
T00000261,2023-01-11 21:00:00,C01326,Purchase,4119.74,Online Retail,0
T00000262,2023-01-11 22:00:00,C02451,Transfer,4377.52,Walmart,0
T00000263,2023-01-11 23:00:00,C00793,Transfer,2558.08,Gas Station,0
T00000264,2023-01-12 00:00:00,C04040,Transfer,880.74,Gas Station,0
T00000265,2023-01-12 01:00:00,C00079,Purchase,807.96,Grocery Store,0
T00000266,2023-01-12 02:00:00,C01833,Purchase,2694.3,Restaurant,0
T00000267,2023-01-12 03:00:00,C03069,Deposit,4504.01,Restaurant,0
T00000268,2023-01-12 04:00:00,C02940,Withdrawal,4856.75,Grocery Store,0
T00000269,2023-01-12 05:00:00,C00433,Purchase,4796.29,Restaurant,0
T00000270,2023-01-12 06:00:00,C01615,Withdrawal,3399.47,Grocery Store,0
T00000271,2023-01-12 07:00:00,C04110,Withdrawal,3456.36,Amazon,0
T00000272,2023-01-12 08:00:00,C04742,Purchase,158.48,Walmart,0
T00000273,2023-01-12 09:00:00,C02631,Payment,3530.88,Restaurant,0
T00000274,2023-01-12 10:00:00,C03850,Purchase,1223.5,Online Retail,0
T00000275,2023-01-12 11:00:00,C02541,Withdrawal,1597.7,Gas Station,0
T00000276,2023-01-12 12:00:00,C00007,Transfer,1213.42,Amazon,0
T00000277,2023-01-12 13:00:00,C04290,Deposit,4113.07,Walmart,0
T00000278,2023-01-12 14:00:00,C00913,Transfer,2564.73,Grocery Store,0
T00000279,2023-01-12 15:00:00,C01303,Withdrawal,771.86,Grocery Store,0
T00000280,2023-01-12 16:00:00,C02082,Transfer,4029.09,Walmart,0
T00000281,2023-01-12 17:00:00,C04071,Payment,3331.4,Grocery Store,0
T00000282,2023-01-12 18:00:00,C00033,Purchase,4314.68,Amazon,0
T00000283,2023-01-12 19:00:00,C04050,Transfer,3012.71,Restaurant,0
T00000284,2023-01-12 20:00:00,C04607,Deposit,3845.61,Online Retail,0
T00000285,2023-01-12 21:00:00,C03619,Withdrawal,808.27,Gas Station,0
T00000286,2023-01-12 22:00:00,C01222,Payment,4407.78,Gas Station,0
T00000287,2023-01-12 23:00:00,C02510,Deposit,4394.64,Amazon,0
T00000288,2023-01-13 00:00:00,C02863,Withdrawal,527.82,Restaurant,0
T00000289,2023-01-13 01:00:00,C02231,Payment,3546.44,Online Retail,0
T00000290,2023-01-13 02:00:00,C01047,Withdrawal,3959.18,Grocery Store,0
T00000291,2023-01-13 03:00:00,C00513,Payment,1583.22,Grocery Store,0
T00000292,2023-01-13 04:00:00,C00031,Withdrawal,1035.72,Walmart,0
T00000293,2023-01-13 05:00:00,C01887,Purchase,3560.75,Restaurant,0
T00000294,2023-01-13 06:00:00,C03678,Purchase,3035.11,Amazon,0
T00000295,2023-01-13 07:00:00,C03197,Deposit,4614.0,Online Retail,0
T00000296,2023-01-13 08:00:00,C01240,Purchase,2134.29,Walmart,0
T00000297,2023-01-13 09:00:00,C03946,Payment,3059.58,Walmart,0
T00000298,2023-01-13 10:00:00,C02602,Payment,4935.47,Gas Station,0
T00000299,2023-01-13 11:00:00,C03952,Deposit,2254.65,Restaurant,0
T00000300,2023-01-13 12:00:00,C04659,Transfer,2904.42,Online Retail,0
T00000301,2023-01-13 13:00:00,C04351,Purchase,4185.09,Gas Station,0
T00000302,2023-01-13 14:00:00,C02260,Payment,556.64,Grocery Store,0
T00000303,2023-01-13 15:00:00,C02948,Payment,238.4,Amazon,0
T00000304,2023-01-13 16:00:00,C04581,Withdrawal,885.61,Grocery Store,0
T00000305,2023-01-13 17:00:00,C01461,Transfer,3581.1,Gas Station,0
T00000306,2023-01-13 18:00:00,C00858,Deposit,4827.39,Grocery Store,0
T00000307,2023-01-13 19:00:00,C02206,Purchase,4840.72,Online Retail,0
T00000308,2023-01-13 20:00:00,C03450,Deposit,3817.44,Gas Station,0
T00000309,2023-01-13 21:00:00,C04653,Payment,1222.18,Grocery Store,0
T00000310,2023-01-13 22:00:00,C04706,Deposit,4823.07,Gas Station,0
T00000311,2023-01-13 23:00:00,C02826,Purchase,2905.47,Walmart,0
T00000312,2023-01-14 00:00:00,C00933,Payment,690.17,Restaurant,0
T00000313,2023-01-14 01:00:00,C00127,Deposit,1998.04,Walmart,0
T00000314,2023-01-14 02:00:00,C02507,Transfer,4429.88,Amazon,0
T00000315,2023-01-14 03:00:00,C02665,Deposit,2862.03,Amazon,0
T00000316,2023-01-14 04:00:00,C00756,Purchase,4375.29,Online Retail,0
T00000317,2023-01-14 05:00:00,C02527,Transfer,973.8,Walmart,0
T00000318,2023-01-14 06:00:00,C02786,Transfer,2855.7,Restaurant,0
T00000319,2023-01-14 07:00:00,C00845,Transfer,2132.47,Restaurant,0
T00000320,2023-01-14 08:00:00,C04692,Transfer,1654.1,Amazon,0
T00000321,2023-01-14 09:00:00,C03250,Purchase,4362.54,Restaurant,0
T00000322,2023-01-14 10:00:00,C02667,Deposit,102.97,Walmart,0
T00000323,2023-01-14 11:00:00,C01933,Payment,2870.2,Walmart,0
T00000324,2023-01-14 12:00:00,C04201,Deposit,4019.74,Walmart,0
T00000325,2023-01-14 13:00:00,C01630,Payment,1747.2,Grocery Store,0
T00000326,2023-01-14 14:00:00,C03900,Deposit,2539.5,Grocery Store,0
T00000327,2023-01-14 15:00:00,C02079,Withdrawal,1751.04,Grocery Store,0
T00000328,2023-01-14 16:00:00,C01601,Payment,1577.43,Amazon,0
T00000329,2023-01-14 17:00:00,C01314,Purchase,4212.61,Grocery Store,0
T00000330,2023-01-14 18:00:00,C03829,Withdrawal,3545.79,Online Retail,0
T00000331,2023-01-14 19:00:00,C03838,Deposit,3341.25,Amazon,0
T00000332,2023-01-14 20:00:00,C02156,Withdrawal,4495.34,Gas Station,0
T00000333,2023-01-14 21:00:00,C00254,Withdrawal,1576.24,Online Retail,0
T00000334,2023-01-14 22:00:00,C02559,Withdrawal,2204.05,Restaurant,0
T00000335,2023-01-14 23:00:00,C01618,Transfer,944.32,Restaurant,0
T00000336,2023-01-15 00:00:00,C00932,Transfer,4864.89,Online Retail,0
T00000337,2023-01-15 01:00:00,C00740,Deposit,609.43,Amazon,0
T00000338,2023-01-15 02:00:00,C04376,Payment,4958.57,Grocery Store,0
T00000339,2023-01-15 03:00:00,C03710,Transfer,341.49,Grocery Store,0
T00000340,2023-01-15 04:00:00,C01511,Withdrawal,3830.88,Restaurant,0
T00000341,2023-01-15 05:00:00,C00759,Withdrawal,4593.4,Gas Station,0
T00000342,2023-01-15 06:00:00,C02218,Withdrawal,1478.55,Gas Station,0
T00000343,2023-01-15 07:00:00,C00090,Purchase,175.77,Restaurant,0
T00000344,2023-01-15 08:00:00,C02507,Withdrawal,3425.87,Restaurant,0
T00000345,2023-01-15 09:00:00,C02202,Payment,1960.55,Walmart,0
T00000346,2023-01-15 10:00:00,C01289,Deposit,4673.59,Amazon,0
T00000347,2023-01-15 11:00:00,C04138,Deposit,4582.95,Online Retail,0
T00000348,2023-01-15 12:00:00,C03036,Purchase,1424.83,Amazon,0
T00000349,2023-01-15 13:00:00,C03150,Withdrawal,1704.69,Restaurant,0
